start,end,DOMESTIC_HOT_WATER.CONSUMED_ELECTRICAL_ENERGY,HEATING.CONSUMED_ELECTRICAL_ENERGY,DOMESTIC_HOT_WATER.EARNED_ENVIRONMENT_ENERGY,HEATING.EARNED_ENVIRONMENT_ENERGY,DOMESTIC_HOT_WATER.HEAT_GENERATED,HEATING.HEAT_GENERATED
2025-02-14T06:00,2025-02-14T07:00,829.1427748129402,453.54070783242355,834.1740672438539,1035.6061784290555,1629.8114959286972,1454.6394818615838
2025-02-14T07:00,2025-02-14T08:00,0.0,638.1929607415201,0.0,1156.9083846830986,0.0,1728.9368297581345
2025-02-14T08:00,2025-02-14T09:00,0.0,586.8125419224549,0.0,970.9016916802844,0.0,1484.7204598827482
2025-02-14T09:00,2025-02-14T10:00,0.0,538.9563110671025,0.0,975.959365094411,0.0,1413.1190871780602
2025-02-14T10:00,2025-02-14T11:00,0.0,673.0373706621068,0.0,1303.7914709845702,0.0,1785.5507082100344
2025-02-14T11:00,2025-02-14T12:00,0.0,483.7836179577465,0.0,948.3589036065505,0.0,1297.145420707182
2025-02-14T12:00,2025-02-14T13:00,0.0,578.6553058978873,0.0,1158.9486003521126,0.0,1638.0643573943662
2025-02-14T13:00,2025-02-14T14:00,0.0,504.34071667802675,0.0,1047.0611267605634,0.0,1425.8650232261418
2025-02-14T14:00,2025-02-14T15:00,0.0,381.39488101886684,0.0,764.7204932774434,0.0,1088.687993423871
2025-02-14T15:00,2025-02-14T16:00,0.0,497.3499230713056,0.0,1028.9587244648242,0.0,1429.5260367158548
2025-02-14T16:00,2025-02-14T17:00,0.0,600.7916967994179,0.0,1250.283077688892,0.0,1681.9222846623013
2025-02-14T17:00,2025-02-14T18:00,0.0,465.4313028169014,0.0,922.0289568661972,0.0,1265.8993485915491
2025-02-14T18:00,2025-02-14T19:00,0.0,530.8747183098592,0.0,1016.5540008802817,0.0,1441.3467517605634
2025-02-14T19:00,2025-02-14T20:00,0.0,552.7918705985916,0.0,1109.8574295774647,0.0,1495.429542253521
2025-02-14T20:00,2025-02-14T21:00,0.0,380.43691161684274,0.0,725.1708292992254,0.0,989.3846822259948
2025-02-14T21:00,2025-02-14T22:00,0.0,450.70976933701456,0.0,834.5655586111636,0.0,1165.8944919322512
2025-02-14T22:00,2025-02-14T23:00,0.0,409.62129615336505,0.0,804.7687066070383,0.0,1047.749382214488
2025-02-14T23:00,2025-02-15T00:00,0.0,261.1231895316673,0.0,514.332065370527,0.0,674.8161739296727
2025-02-15T00:00,2025-02-15T01:00,0.0,309.63367762045647,0.0,569.4122013267971,0.0,770.0263323828574
2025-02-15T01:00,2025-02-15T02:00,0.0,436.2525518619607,0.0,881.7442247791482,0.0,1154.857284113954
2025-02-15T02:00,2025-02-15T03:00,0.0,363.1765547755343,0.0,755.3013049175306,0.0,967.19087096337
2025-02-15T03:00,2025-02-15T04:00,0.0,255.28330685327853,0.0,512.3498084721042,0.0,673.2086628879649
2025-02-15T04:00,2025-02-15T05:00,0.0,342.58099633596396,0.0,693.5160093168935,0.0,921.5108376570017
2025-02-15T05:00,2025-02-15T06:00,764.817664306847,203.70329978515076,1093.3472396493733,432.97344022840196,1824.3731990415433,566.0315194917036
2025-02-15T06:00,2025-02-15T07:00,592.3512810056529,354.103104264145,847.767994725627,877.4401459918287,1414.5965275209567,1049.7995544519583
2025-02-15T07:00,2025-02-15T08:00,0.0,554.5667181379698,0.0,1241.711479800896,0.0,1617.4631762468302
2025-02-15T08:00,2025-02-15T09:00,0.0,532.1498665785452,0.0,1097.8737406431337,0.0,1456.218904271188
2025-02-15T09:00,2025-02-15T10:00,0.0,440.1918279990024,0.0,991.3596276847877,0.0,1305.3568380422416
2025-02-15T10:00,2025-02-15T11:00,0.0,552.5639316362522,0.0,1175.740868938263,0.0,1553.9653637141337
2025-02-15T11:00,2025-02-15T12:00,0.0,482.56901447764494,0.0,1034.2242209507042,0.0,1392.1296126760565
2025-02-15T12:00,2025-02-15T13:00,0.0,362.74376281108744,0.0,861.1209198943662,0.0,1170.7876023994063
2025-02-15T13:00,2025-02-15T14:00,0.0,372.59737755676065,0.0,818.4369974159554,0.0,1135.2966504649196
2025-02-15T14:00,2025-02-15T15:00,0.0,440.76528459504345,0.0,1019.6117863000327,0.0,1395.7647943872084
2025-02-15T15:00,2025-02-15T16:00,0.0,451.93846638400885,0.0,1084.1972566429752,0.0,1474.4799688781557
2025-02-15T16:00,2025-02-15T17:00,0.0,380.5969923683089,0.0,878.787819114518,0.0,1205.7799891648187
2025-02-15T17:00,2025-02-15T18:00,0.0,329.8827574668921,0.0,770.7451413287416,0.0,1051.4991723020569
2025-02-15T18:00,2025-02-15T19:00,0.0,458.28005613811075,0.0,1050.38604705154,0.0,1445.9830534885841
2025-02-15T19:00,2025-02-15T20:00,0.0,478.84369362625455,0.0,1124.6849524141892,0.0,1543.8341589229658
2025-02-15T20:00,2025-02-15T21:00,0.0,383.4688011133744,0.0,861.4633625342879,0.0,1187.328447028145
2025-02-15T21:00,2025-02-15T22:00,0.0,288.09994023781786,0.0,654.3003387961439,0.0,893.7299877735824
